id,node_type
159,variableInitializer|VarName DOWN
207,typeRef|qualifiedNamespaceName|namespaceNameList|identifier|Label DOWN
131,QuestionMark DOWN
46,expression|string|SingleQuoteString UP
110,innerStatement|statement|ifStatement DOWN
211,Foreach DOWN
120,statement|ifStatement UP
127,constantInititalizer|constant|Null DOWN
180,DoubleQuote DOWN
143,topStatement|functionDeclaration UP
250,expression|constant|Null UP
91,actualArgument|expression|constant|literalConstant|stringConstant|Label DOWN
38,expression|chain|chainOrigin|chainBase|keyedVariable|VarName UP
83,OpenSquareBracket UP
108,If UP
193,Echo UP
75,BooleanAnd DOWN
167,forUpdate|expressionList|expression DOWN
239,List UP
243,IsGreaterOrEqual UP
66,actualArgument|expression|chain UP
99,actualArgument|expression|constant|literalConstant|BooleanConstant DOWN
252,statement|returnStatement UP
26,identifier|Label UP
40,actualArgument|expression DOWN
235,assignmentListElement|chain|chainOrigin|chainBase|keyedVariable|VarName UP
188,DoubleArrow DOWN
247,Percent DOWN
7,Global UP
15,functionCallName|classConstant DOWN
23,chain|chainOrigin|functionCall UP
84,squareCurlyExpression UP
184,innerStatement|statement|foreachStatement UP
87,VarName UP
268,expressionList|expression|string DOWN
170,expression|chain|chainOrigin|chainBase|keyedVariable DOWN
95,Less DOWN
35,innerStatement|statement|expressionStatement UP
156,innerStatementList|innerStatement|statement|returnStatement DOWN
164,expressionList|expression DOWN
151,assignable|chain UP
5,formalParameter|variableInitializer|VarName DOWN
78,parentheses DOWN
102,innerStatementList|innerStatement|statement|expressionStatement DOWN
258,arrayItemList UP
212,Minus UP
182,interpolatedStringPart|StringPart UP
69,actualArgument|expression|chain|chainOrigin|functionCall UP
81,functionCallName|qualifiedNamespaceName|namespaceNameList|identifier|Label DOWN
135,innerStatementList UP
194,innerStatementList|innerStatement|statement|echoStatement UP
198,actualArgument|expression|string DOWN
241,Plus UP
41,Dot DOWN
94,Bang DOWN
259,arrayItemList DOWN
173,statement|expressionStatement UP
107,SemiColon UP
157,formalParameter UP
96,expression|constant|literalConstant|numericConstant|Decimal DOWN
98,expression|constant|literalConstant|numericConstant|Decimal UP
48,ObjectOperator UP
195,innerStatementList|innerStatement|statement|echoStatement DOWN
74,IsNotEq UP
256,arrayItem UP
72,Bang UP
30,Eq DOWN
240,Plus DOWN
101,innerStatementList|innerStatement|statement|expressionStatement UP
172,actualArgument|expression|chain|chainOrigin|chainBase|keyedVariable DOWN
168,Inc DOWN
28,expression UP
174,statement|expressionStatement DOWN
139,blockStatement UP
18,DoubleColon UP
33,Eq UP
146,innerStatement|statement|returnStatement UP
86,CloseSquareBracket DOWN
242,IsGreaterOrEqual DOWN
36,innerStatement|statement|expressionStatement DOWN
93,CloseSquareBracket UP
63,actualArgument|expression|chain|chainOrigin|chainBase|keyedVariable|VarName UP
158,formalParameter DOWN
105,statement|blockStatement DOWN
263,Array DOWN
203,arguments DOWN
100,actualArgument|expression|constant|literalConstant|BooleanConstant UP
114,assignable|chain|chainOrigin|chainBase|keyedVariable|VarName DOWN
140,blockStatement DOWN
223,For UP
214,constantInititalizer DOWN
147,innerStatement|statement|returnStatement DOWN
204,New UP
104,statement|blockStatement UP
6,Comma UP
124,If DOWN
56,ObjectOperator DOWN
11,SemiColon DOWN
16,DoubleColon DOWN
