id,node_type
57,actualArgument|expression|chain|chainOrigin|chainBase|keyedVariable|VarName UP
53,assignmentOperator|Eq DOWN
102,Colon UP
37,DoubleQuote DOWN
273,constantInititalizer|constant|Null DOWN
77,assignable|chain|chainOrigin|chainBase|keyedVariable UP
191,Inc DOWN
31,CloseRoundBracket UP
211,actualArgument|expression|chain|chainOrigin|chainBase|keyedVariable DOWN
193,innerStatement|statement|forStatement UP
138,typeRef|qualifiedNamespaceName|namespaceNameList|identifier|Label DOWN
158,constantInititalizer DOWN
147,As UP
247,arrayItem UP
225,constantInititalizer|constant|literalConstant|BooleanConstant DOWN
253,Array DOWN
255,Divide DOWN
43,actualArgument|expression|string|SingleQuoteString UP
271,variableInitializer|VarName DOWN
72,OpenSquareBracket UP
4,globalVar|VarName DOWN
39,interpolatedStringPart|StringPart UP
243,statement|returnStatement UP
2,innerStatement|statement|globalStatement UP
150,expression|constant|literalConstant|numericConstant|Decimal DOWN
52,ObjectOperator DOWN
179,Function UP
222,Greater DOWN
110,actualArgument|expression|chain|chainOrigin|functionCall UP
144,chain|chainOrigin|chainBase|keyedVariable|VarName DOWN
22,expression UP
101,Colon DOWN
136,expression|newExpr UP
195,Inc UP
159,constantInititalizer|constant|literalConstant|numericConstant|Decimal DOWN
106,formalParameterList UP
224,constantInititalizer|string|SingleQuoteString DOWN
33,actualArgument|expression|string UP
67,Dot UP
171,assignmentOperator|Concaequal DOWN
26,qualifiedStaticTypeRef|qualifiedNamespaceName|namespaceNameList|identifier|Label DOWN
156,Minus UP
242,RequireOnce UP
231,Asterisk DOWN
38,interpolatedStringPart|chain|chainOrigin|chainBase|keyedVariable|VarName UP
129,IsEqual UP
19,OpenRoundBracket DOWN
176,Return DOWN
198,formalParameterList|formalParameter|variableInitializer|VarName DOWN
221,IsGreaterOrEqual UP
27,Eq UP
90,VarName DOWN
30,innerStatement|statement|expressionStatement DOWN
213,assignmentListElement|chain|chainOrigin|chainBase|keyedVariable|VarName UP
194,innerStatement|statement|forStatement DOWN
230,expression|constant|Null UP
95,innerStatement|statement|ifStatement DOWN
210,actualArgument|expression|chain|chainOrigin|chainBase|keyedVariable UP
277,IsIdentical DOWN
133,arguments UP
165,BooleanOr DOWN
209,innerStatement|statement|whileStatement DOWN
70,actualArgument|expression|constant|literalConstant|numericConstant|Decimal DOWN
139,typeRef|qualifiedNamespaceName|namespaceNameList|identifier|Label UP
239,Array UP
279,actualArgument|expression|constant|Null DOWN
9,functionCallName|classConstant DOWN
151,expression|constant|literalConstant|numericConstant|Decimal UP
99,QuestionMark DOWN
270,formalParameterList|formalParameter DOWN
215,assignmentList DOWN
92,SemiColon UP
141,Foreach UP
46,memberAccess DOWN
189,forUpdate|expressionList|expression UP
35,interpolatedStringPart|chain|chainOrigin|chainBase|keyedVariable|VarName DOWN
82,parentheses DOWN
108,formalParameter|variableInitializer|VarName DOWN
145,As DOWN
263,Echo UP
187,Less DOWN
135,New UP
20,identifier|Label UP
84,actualArgument|expression|constant|literalConstant|BooleanConstant UP
240,expression|arrayCreation UP
128,IsEqual DOWN
164,expression|chain|chainOrigin|chainBase|keyedVariable DOWN
186,expressionList|expression DOWN
93,If UP
237,DoubleArrow DOWN
126,LogicalOr DOWN
78,assignable|chain|chainOrigin|chainBase|keyedVariable DOWN
16,CloseRoundBracket DOWN
227,Percent DOWN
44,ObjectOperator UP
88,statement|blockStatement UP
192,For UP
42,Comma UP
143,innerStatement|statement|foreachStatement DOWN
157,constantInititalizer UP
154,Bang UP
212,functionCallName|qualifiedNamespaceName|namespaceNameList|identifier|Unset UP
80,CloseSquareBracket UP
34,actualArgument|expression|string DOWN
281,formalParameter UP
21,assignable|chain|chainOrigin|chainBase|keyedVariable|VarName UP
91,CloseCurlyBracket DOWN
177,blockStatement UP
